"Name","Team","Goals","Assists","Turnovers","Stops (Quaffle)","Beater Shifts","0 Bludgers","1 Bludger","2 Bludgers","BS","Stops (Beater)","Plus - Minus","Catches","Games Rostered"
"Aakash Srinivasan","DET","4","1","9","5","0","0","0","0","0%","0","0","0","6"
"Aaron Grant","KC","0","0","1","0","0","0","0","0","0%","0","0","0","3"
"Aaron Oehler","CLE","0","0","0","0","35","2","20","13","37.14%","8","8","0","6"
"Ad Ojo","LC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Adam Heald","KC","3","2","4","2","0","0","0","0","0%","0","0","0","3"
"Adelynn Morris","CLT","0","0","5","1","0","0","0","0","0%","0","0","0","12"
"Akshat Shah","MPLS","0","0","0","0","16","0","7","9","56.25%","0","-2","0","6"
"Alex ""OB"" Obanor","MPLS","11","7","4","2","0","0","0","0","0%","0","0","0","3"
"Alex Kinsel","LC","0","0","0","0","29","1","11","16","55.17%","2","10","0","3"
"Alex Naftel","OTT","4","1","7","12","6","2","3","1","16.67%","0","-4","0","9"
"Alex Pucciarelli","NO","0","0","1","0","133","27","45","61","45.86%","10","-35","0","12"
"Alex Vega","SA","0","0","3","1","0","0","0","0","0%","0","0","0","3"
"Alexander Murray","OTT","0","0","7","1","0","0","0","0","0%","0","0","0","3"
"Alexander Rivoche","OTT","0","0","0","0","105","33","54","18","17.14%","3","-60","-17","9"
"Alexander Scherger","TOR","0","0","0","0","64","2","34","28","43.75%","19","21","0","3"
"Alexandra Fleck","OTT","0","0","2","0","0","0","0","0","0%","0","0","0","3"
"Alexandria Raffa","NYC","2","1","2","3","0","0","0","0","0%","0","0","0","3"
"Allan Yang","ROC","0","0","0","0","16","1","6","8","50.0%","1","0","0","0"
"Allison Slominski","CLT","1","0","0","0","0","0","0","0","0%","0","0","0","3"
"Ally Meyer","CLE","1","0","2","3","0","0","0","0","0%","0","0","0","3"
"Allyson Manzella","IND","3","0","2","2","0","0","0","0","0%","0","0","0","6"
"Alyssa Giarrosso","ROC","2","6","13","6","0","0","0","0","0%","0","0","0","6"
"Amber Bonhomme","SA","1","0","2","2","0","0","0","0","0%","0","0","0","6"
"Amy Zasadzinski","IND","1","1","1","2","0","0","0","0","0%","0","0","0","3"
"Ana Luiza Nicolae","OTT","2","11","31","18","0","0","0","0","0%","0","0","0","12"
"Andre Allard","OTT","1","2","13","0","28","6","15","7","25.0%","2","-14","0","12"
"Andrew Kusters","TOR","4","14","21","18","0","0","0","0","0%","0","0","0","3"
"Andrew Mueller","DET","5","1","9","1","0","0","0","0","0%","0","0","0","9"
"Andrew Steinberg","BOS","17","5","7","10","0","0","0","0","0%","0","0","0","9"
"Andrew Tudor","CLE","0","1","2","3","0","0","0","0","0%","0","0","0","3"
"Aniyah Dillard","IND","0","0","1","0","0","0","0","0","0%","0","0","0","3"
"Anna Holmes","IND","1","2","4","1","0","0","0","0","0%","0","0","0","6"
"Annika Kim","NYC","2","2","2","5","0","0","0","0","0%","0","0","0","3"
"April Grabner","MPLS","0","0","0","0","41","2","15","24","58.54%","1","10","0","9"
"Aryan Ghoddossy","AUS","0","3","7","2","0","0","0","0","0%","0","0","0","0"
"Ash Toth","DET","1","0","2","4","0","0","0","0","0%","0","0","0","9"
"Ashley Dolan","ROC","0","0","0","0","33","2","17","13","39.39%","0","-1","1","3"
"Ashley Wilson","ROC","2","2","3","5","0","0","0","0","0%","0","0","0","3"
"Ashton Butler","LC","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Ashton Jean-Lewis","LC","1","1","3","3","0","0","0","0","0%","0","0","0","6"
"Athena Mayor","BOS","6","0","4","1","0","0","0","0","0%","0","0","0","9"
"Athilesh Thanigai","DET","2","0","5","1","0","0","0","0","0%","0","0","0","6"
"Audrey Mockenhaupt","KC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Audrey Safir","DET","1","0","2","1","0","0","0","0","0%","0","0","0","3"
"Augustine Monroe","AUS","11","39","22","16","0","0","0","0","0%","0","0","0","0"
"Austin Howe","CLE","0","0","0","0","100","8","53","39","39.0%","10","17","0","6"
"Avery Olivar","NYC","1","3","2","0","0","0","0","0","0%","0","0","0","3"
"Bailee Fields","AUS","0","0","0","0","40","4","5","5","12.5%","12","9","0","0"
"Baldemar Nunez","SA","0","0","1","0","80","5","22","52","65.0%","9","23","0","6"
"Barbara Groh","AUS","0","0","0","0","34","3","5","26","76.47%","18","11","0","0"
"Basem Ashkar","ROC","13","11","7","15","0","0","0","0","0%","0","0","0","6"
"Ben Phillips","WAS","6","4","5","6","0","0","0","0","0%","0","0","0","9"
"Ben Schlueter","MPLS","0","0","0","0","61","3","23","35","57.38%","4","1","0","9"
"Ben Stonish","ROC","8","4","8","7","0","0","0","0","0%","0","0","1","6"
"Ben Strauss","CLE","0","0","0","0","55","4","20","31","56.36%","2","-14","0","6"
"Benjamin Gaffigan","CLE","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Benjamin Peachey","IND","8","2","3","2","34","2","5","27","79.41%","4","8","0","6"
"Bernardo Berges","WAS","0","0","0","1","59","3","23","15","25.42%","11","19","0","6"
"Billy Quach","KC","5","0","3","2","0","0","0","0","0%","0","0","0","3"
